"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"AQ_CPT1A",-0.166969638220061,0.158311988244418,0.106298466512201,0.0126582885574185,-0.131340260004327,0.0201978379468555,0.0481980188213773,-0.0736981611318689,-0.116078704442703,0.0103115485028977,0.21621242252758,0.0679397845076121,-0.184784082028814,0.0105802867766693,-0.0350471948524514,-0.0586089245474646,-0.195920351641296,0.11938799427229,0.128445491531754,0.191470439041726,0.0246837801496275,-0.217483737107604,-0.341710632255498,0.301710732805456,0.317745276619881,-0.0551877219199621,-0.200785966541941,-0.199633572158407,0.0494958263981818,-0.206580096872621,-0.238139756736089,-0.0760548466628729,-0.0251415046731234,0.0889641308302088,0.296799667768284,0.0997741761857592,-0.093607767114869,-0.0561981108599465,0.0235863958496596,-0.0484550751735163,0.0325032847630646,-0.0597460441643941,-0.106572108686827,-0.0207882374599582,0.123253484180412,1.0976979554489e-08
"AQ_CSF2",-0.0988656591823785,0.0746871930411902,-0.0487313414450517,-0.0308467170349068,0.393896164844745,0.146606161351019,-0.178204509251646,0.194261070217819,0.29497706734556,0.309982113863157,-0.0734642811725061,0.103027276605005,0.143932568297275,-0.0959002238047885,-0.342115371917637,-0.250485353372259,0.0171727666537189,-0.04446517395478,0.231220040117519,0.290429449071855,-0.034194153039752,-0.0905321713620028,-0.0553425080998209,-0.180792633918635,0.0700148342148279,0.0831145004500059,0.0376588382113758,-0.0532155750010423,0.0529299578002334,-0.134820412893201,0.0511761990838931,0.133863648736271,0.0268966152131759,0.0553230687883668,-0.0630140853869843,0.168111346444622,0.0957538563515591,0.0423213223569146,-0.133761584268676,-0.0556918949998356,0.0987897120699466,0.03735442821708,-0.0247321464419604,0.0174282967567916,0.0596078859419275,7.19707878536757e-09
"AQ_CXCR1",-0.141466067334251,-0.188080571390263,-0.15072201988025,-0.0098666238457822,0.141644271803178,0.0203627933283233,-0.142658332806093,-0.260248844695645,-0.205679381039604,-0.0836476527716268,0.0967559403468335,-0.0421782335955479,-0.249534223962085,-0.177988743126429,0.119186173605352,-0.190055252978042,-0.0952660394803031,-0.0983823595974067,0.116384501398371,-0.1307673461602,0.348052480295516,0.18855078869655,0.142985089990221,-0.160746979133905,-0.0690824875859115,-0.155906319037934,-0.180912353990249,-0.150733144337244,0.0786821083461614,-0.177655777437063,0.0228552524492868,0.146977467922504,-0.132600383977932,0.0263081470923895,-0.0472946266844243,-0.0651339152706143,-0.0584201769023084,0.10207160762202,-0.20340276354944,-0.110050751973644,0.33825493293165,0.00025952741961803,0.0390435223070053,-0.0596420957290772,-0.0132099602439948,-6.88353251742518e-09
"AQ_FASN",-0.17823832314325,0.169336378042605,0.025631669997614,0.0444465463272476,0.0912640239900953,-0.0952299535002417,0.00471702557962322,0.0973586459006169,0.0134920262850115,-0.0510932024560608,0.0408083128913423,0.0465957118028274,-0.0851410525021019,0.224776983681081,0.0172284140550411,0.23513969797552,0.0254069560679208,-0.123228232160898,0.127301003574747,-0.108188373675514,0.0577069495535741,0.219419264544025,-0.160752849646549,0.0265132983470014,-0.131469073109864,-0.0432212492691903,0.0400177883439773,-0.0598261269105781,0.0939601488544337,0.130652757947449,0.0453807492433463,0.199383152965371,-0.00160765310741137,0.0991049610916762,-0.0271102689826191,0.141854330446195,-0.121605594377844,0.0401334155302823,-0.053008584327279,-0.397352564496769,-0.281990295168554,0.303898513125907,0.214647500210451,-0.165363781211954,0.350939917889103,-4.78421251842373e-08
"AQ_FOXO3",-0.120585401918521,-0.0804787781003003,0.28318448805102,0.0369911244022879,-0.20388123892589,-0.049896494091007,-0.362455497724191,-0.0726905275964825,0.0808239389618015,0.055878850116893,-0.0233095965328299,0.086916042868817,-0.0490998981964969,-0.181824829140753,0.135840632296611,0.109060302743508,0.275590795083095,-0.381627210611635,0.137359647167385,0.0860430475514196,0.0266994790503082,0.0258198577849405,0.013535527313552,0.344995991174663,0.065494582536327,0.297983504281639,0.12638962755616,-0.0925075587609388,0.00562582643196767,0.169673151990116,0.124463425600358,0.0904100686752007,-0.091697852844776,0.10815397793817,-0.058129995426743,-0.0170494913015405,0.0305293192984707,-0.152449133350689,0.0310784904125052,0.0256936778468565,0.189283275575514,-0.0794206875319363,0.0140117400386993,0.0504438999044135,-0.011688185553249,1.05215255965206e-08
"AQ_FOXP3",-0.143306572932321,0.264382460468919,-0.144957082026864,-0.147208388159796,-0.065635549623617,0.241816498298904,0.03587376418439,0.0769904405365495,-0.027069050786723,-0.173691637563561,-0.0103992040302836,-0.0166728058017022,-0.153172491755894,-0.0417235888327681,-0.0861765276030134,-0.121492530034893,0.111588598394731,-0.0171662371636358,0.00338260324426473,0.0133415934564181,0.0871842528840099,-0.0360807207438262,0.0988250794030258,-0.0246574340667709,0.0478832470199095,-0.0422644952172122,0.213014433595436,-0.164635221360034,0.394370299117199,0.257366683785871,0.0426659768549951,0.103717486892002,-0.0532582933178182,0.0250964581148707,0.0545311015418918,-0.385744448582718,0.157204547843287,0.114312010520418,0.0578104360659471,0.124536779158578,-0.178189106235202,-0.0374922169567903,-0.342333821983914,-0.0456194813930223,0.103877284384887,2.99274727439194e-08
"AQ_G6PD",-0.170868928286657,-0.11773020849447,0.184221180087136,0.0660012725288275,-0.11933119571219,0.0763095907786928,0.115809413890084,0.0238339483011641,0.0873559677440749,0.0579532977695547,0.115418338442615,0.0986938621232567,0.133718973557424,-0.0218788800000211,-0.104403757823674,0.0591607544503343,0.066306038096149,0.118342091381279,0.0330160106566164,-0.239933130268127,0.275640625330653,-0.100259926761894,-0.0745715139652801,-0.125439788241871,0.0146966818106949,-0.0779491901226979,-0.00819320777648495,0.156488353081846,-0.257736458532724,-0.00138020350202383,-0.00121681897980161,0.118580838138953,-0.0690290736041044,0.464146608908951,-0.0747181137807095,-0.0417976377375874,-0.0138779350193449,0.0365640525060938,0.14364690543438,0.173016798618155,0.0741686134723867,0.376904701159044,-0.30349937603386,-0.0177489336002853,-0.0495897156557239,1.36921384373719e-08
"AQ_GPD2",-0.154745289803942,0.155216539780651,0.0789647873808391,0.0862040754718071,-0.0305018852480575,-0.248127380255615,0.0692202048246278,-0.123168367996813,-0.206710203099506,0.0794971123827122,-0.119812391320772,-0.102427776574344,0.194429430012727,-0.047686276236613,0.134591812150927,0.051515280033286,0.221603905844643,0.0859475281786653,0.190289162602711,0.11114856620471,-0.320563869950822,0.103579314554104,-0.0955249255228238,-0.212643902013056,0.150073798348919,-0.228434316624972,-0.0672939284929604,-0.00422255234677535,0.0466449835625571,-0.13792723304316,0.142702790052585,0.00290509624257033,-0.442080769743038,-0.114511833003403,-0.102475039948276,-0.101190276523662,0.140657495288163,-0.166203055993042,-0.0427973205273706,-0.0538382556696844,-0.0330583424851531,0.113883962909106,-0.157038745399748,0.0659182169494248,-0.0537068121224586,1.78039076437382e-08
"AQ_GPX1",-0.127761733038461,-0.0999868434134473,0.145844909431748,-0.0859788901003028,-0.0195541093443784,0.172491235045384,-0.330968822546276,-0.083082050429648,0.194701322162674,-0.125060265681675,-0.270731053528087,-0.143848412329304,-0.327248171594207,0.204573443646942,0.116887647787054,-0.0818096456729345,0.0974714331665887,0.210399880279558,-0.155893323476106,0.0280336652152331,-0.182581241990955,0.279659918104419,-0.0693628169175748,-0.175762179307219,0.293272246163993,-0.0261370633798698,0.143671118757091,0.082703028414055,-0.148064900565544,-0.160888927521146,-0.0475610071303347,0.0036164996062103,0.167095792941707,-0.00182705977006355,0.120907182194598,-0.0456930748177496,0.00135534243674193,0.0635461614235948,0.139212529486619,-0.0459878860131827,0.0498092000300508,0.123112226274746,-0.0121342136933005,0.0294971145965124,0.0492003877673275,-7.61198365624438e-11
"AQ_IFNG",-0.162133799602765,0.0299574516706312,-0.0068724800298545,0.101504094695677,0.0725494059232439,-0.180987853738191,0.0709532563684144,-0.101504095698347,0.191136942263999,0.0250264519202479,0.0411495793032996,0.303662130433023,-0.139479102318497,-0.106226768399199,0.299832347434353,-0.111345703021232,0.01899892112386,0.169266607949991,-0.326550146721446,0.160603086045958,-0.037144290636875,0.0782776708247964,-0.255738921084497,-0.169803906051978,-0.134679594266079,-0.0701733751709308,0.0571952306302345,-0.18031806782648,0.164630175673864,0.186506451535463,0.0128194213885643,-0.114650552880766,0.0466392008051561,0.255891672648353,-0.183142748814178,0.142227317666401,-0.0296077001891187,-0.053872547993703,-0.161990437106116,0.265904374680681,-0.0548986337713532,-0.0971863472638965,0.0989650080661129,0.0303891563826446,-0.0495154377893771,-2.27315451357957e-09
